WWC Standard,Average Joe standard,GovEx Book,GovEx Chapter,GovEx Verse,Pre/Post Metric,,,,,,,,,,,,,,,
General,General,How it all comes together,Emerging Insights Hub,Specific Revelations from WWC Partners,N/A,,,,,,,,,,,,,,,
General,General,How it all comes together,Conceptual Diagrams,Performance Management Ecosystem,"The city has (or references) a document explaining to every employee how performance management, analysis, and open data practices fit together in their city.",,,,,,,,,,,,,,,
General,General,How it all comes together,Case Studies,Stories about frontline employee using data in WWCs and achieving results,The city publishes (internally or externally) examples of its own employees using data to achieve results in their day to day practice.,,,,,,,,,,,,,,,
General,General,How it all comes together,Case Studies,Give me the code (NYC),The city routinely shares analysis (including methodology) with employees across divisions to facilitate shared horizontal learning.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Leadership,Finding an Executive Champion,"The city has an executive with significant authority over resources who throws his/her full weight behind data related initiatives like open data, analytics and performance.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Leadership,Finding an Executive Champion,A representative from the mayor/city manager's team is part of the leadership,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Leadership,Finding an Executive Champion,"C10. Mayor publicizes commitment to governing with data to city departments (e.g., public remarks, internal employee emails, newsletters, website, etc.)",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,The city has published goal statements which set clear goals and provide context for why they are important to the city's mission or to the Mayor/City Manager.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,"Build on the values, goals and mission of the community and government",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,C2. Has at least one strategic goal,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,C4. Has at least one publicly stated strategic goal,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Department Mapping Template,The city has established (and published) clear linkages between its goal statements and each department's role in execution.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Choosing ""who"" to assign it to","Choosing ""who"" to assign it to","The city has established (and published) clear owners (programs and/or individuals) which make it clear ""who"" is responsible for progress toward each goal statement.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Deciding ""how"" to move forward","Deciding ""how"" to move forward",The city has clarified (and published) specific strategies and tactics which make it clear how they plan to make progress toward each goal statement.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Understanding ""when"" to expect progress",Setting Targets/Goals,"The city has specific targets/goals it is aiming for within each goal statement, and those targets/goals are calculated based on analysis of past performance, current context, and forseeable future activities.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Understanding ""when"" to expect progress",Setting Targets/Goals,Set appropriately ambitious timelines for implementation,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,"Understanding ""when"" to expect progress",Setting Targets/Goals,"C3. Has assigned targets, metrics, and a timeframe to measure progress toward the achievement of at least one strategic goal",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking where to start with Open Data efforts,Picking where to start with Open Data efforts,The city has published priorities for Open Data activities.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to get focused,Picking where to start with Open Data efforts,Picking where to start with Open Data efforts,Specify methods of determining the prioritization of data release,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,Performance Management (STAT) Getting Started Guide (Git,The city has a STAT program which is chaired by a senior official with ample authority.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,Intro to STAT,The city has a STAT program which occurs routinely on a predictable schedule.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,Intro to STAT,"M3. Has a set schedule for performance management or Stat meetings, led by the mayor or his/her senior team",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,STAT Delivery Model,The city has a STAT program which consistently leverages data to inform the discussion.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,STAT Forums,History of Performance STAT Programs & Appendix,The city has a STAT program which drives specific actions for which individuals/programs are held accountable for completing.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Non STAT Forums,Non STAT Forums,The city has an interdisciplinary meeting of senior management officials which is infused with data and analysis to drive the discussion. (but it is not called STAT),,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Tactical level forums,Open Data Forums,The city has an Open Data portal.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Tactical level forums,Internal Data Visualizations,The city publsihes data visualizations for employees to inform the day to day execution of their responsibiliies.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Tactical level forums,Internal Data Visualizations,"C8. Publishes city progress on city goals annually or more frequently (e.g., annual report, update to city’s strategic plan, etc.)",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Budget Process Forums,Performance Based Budgeting,The city routinely make resource/budgeting decisions in meetings which are infused with the analysis of data.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Budget Process Forums,Performance Based Budgeting,Ensure sufficient funding for implementation,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Budget Process Forums,Performance Based Budgeting,"A5. Redirects budget allocations for citywide policies, program areas, or multi agency initiatives based in part on their measurable impact (i.e.,moving funds away from ineffective policies or programs and towards programs that demonstrate better results)",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision making forums,Sustainment Strategies,Sustainment Strategies,"The city's STAT program or other high visibility, data driven, decision making venue has existed for more than one political administration.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Strategic Framework,Strategic Framework,The city has a strategic plan which explicitely includes language about leveraging data to make decisions as an organization.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,The city has an ordinance passed by city council on Open Data.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Reference and build on existing public accountability and access policies,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Stipulate that provisions apply to contractors or quasi governmental agencies,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Create guidance or other binding regulations for implementation,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Mandate future review for potential changes to this policy,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Executive Order (Examples),The city has an executive order signed by the chief executive on Open Data.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Executive Order (Examples),C9. Has an Open Data policy,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,STAT Executive Order Examples & Chart,The city has an Executive order establishing a STAT or STAT like program,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Sample Performance Management Resolution,The city's legislative branch has passed a resolution or ordinance establishing performance management requirements for the city.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Culture,Culture Diagnostic Tools,"The city has engaged in demonstrable efforts (i.e. focus groups, consutling reviews, surveys) to understand its own culture.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Culture,Culture Change Resources,The city has explicitely referenced a desire to change or shape its own culture toward one more adept with data and analysis.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,Employee Evaluations   Linkage to Goals,"City employees are evaluated using a tool or framework which connects their own performance to that of their respective programs, departments, and the city writ large.",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,Employee Recognition,City employees are routinely recognized for their contributions to improving government.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,"Employee Engagement   Listening, Participation, Feedback, Communication","The city leverages multiple channels to engage its employees (listening sessions, internal communications, feedback sessions, high participation rates in activities)",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,"Employee Engagement   Listening, Participation, Feedback, Communication",Awareness and use of the open data portal is fostered within agencies/departments,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy In,"Employee Engagement   Listening, Participation, Feedback, Communication",C6. Involves internal stakeholders in goal setting,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,The city captures its own best practices and communicates about them.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,Open data success stories are routinely shared with the media and on social media,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,"New, recently updated, or important datasets are routinely highlighted",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,"Stories, links to stories, or links to work done based upon open data are routinely provided",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,The city actively pushes its own example of data driven practices to the press/media.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,"City leaders routinely reference public data in press releases, interviews, presentations or public speeches",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,C1. The mayor or chief executive cites data when speaking publicly about progress towards city goals,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,"A6. In public remarks (or public materials), the mayor or chief executive explains how any change in funding between vendors or programs was driven by data and evidence",,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Competency,Creating a Data & Analysis Literate Workforce,The city either directly provides or dedicates budget resources for purchasing employee training on data/analytics.,,,,,,,,,,,,,,,
Commit,Identify what you want to achieve,How to make it stick,Competency,Assessing Your Own Capabilities,"The city has a mechanism to assess the mathematical, statistical, and computer science capabilites of its own workforce.",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Using the measures you have,KPIs,"The city has selected specific performance measures as ""Key Performance Indicators"" to highlight and visit on a routine basis.",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Using the measures you have,KPIs,"C5. Has assigned targets, metrics, and a timeframe to measure progress toward the achievement of at least one publicly stated strategic goal",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Building new measures,"Using families of measures (inputs, outputs, outcomes/impacts, service quality, efficiency)","The city leverages a ""family of measures"" to monitor the progress toward each goal statement",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Building new measures,"Using families of measures (inputs, outputs, outcomes/impacts, service quality, efficiency)","M1. Collects key output indicators (outputs are interim data points that indicate progress towards a city priority or goal; e.g., number of trees planted in city fiscal year)",,,,,,,,,,,,,,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Building new measures,"Using families of measures (inputs, outputs, outcomes/impacts, service quality, efficiency)","M2. Collects key outcome indicators (outcomes are final data points that indicate concrete progress made towards a city priority or goal; e.g., reduction in unemployment rate; previously unemployed maintain jobs for 12 months)",,,,,,,,,,,,,,,
Measure,Leverage Data,How to conduct a data inventory,Inventory Data,Data Inventory Guide,The city has conducted (and publsihed) a complete data inventory.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to conduct a data inventory,Inventory Data,Data Inventory Guide,"Create a public, comprehensive list of all information holdings",,,,,,,,,,,,,,,
Measure,Leverage Data,How to conduct a data inventory,Inventory Data,Data Inventory Guide,The data inventory is routinely reviewed and public data releases are prioritized,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage external data,Data Collection,Data Collection Best Practices,Optimize methods of data collection,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage external data,Data Collection,Data Collection Best Practices,Data is kept up to date without human interaction (re: Sunlight #22),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage external data,Leveraging External Sources,"Data from key partners with overlapping equities (e.g. school districts, utilities, counties, states, feds)","The city routinely leverages data from external stakeholders (E.g. school districts, utilities, counties, states, feds) to enhance the quality of its own analysis.",,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage external data,Leveraging Multiple Formats,"Data from web, databases, APIs",The city demonstrates the in house ability to leverage open source data through APIs to enhance the quality of its analysis.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Advancement Guide,,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Getting Started Guide,Publish bulk data,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,Charge data creating agencies with recommending an appropriate citation form,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,Require publishing metadata,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,Metadata is compatible with project open data / DCAT (re: Sunlight #13),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,References to 3rd party specifications (e.g. civic data standards) are included if relevant,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,M9. Has an Open Data portal,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,The web site provides a useful search feature (re: Sunlight #18),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,The web site provides a data.json feed (re: Sunlight #18),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,A one stop data discovery mechanism exists when the jurisdiction operates multiple open data sites (re: Sunlight #18),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,Value level metadata is available and maintained (re: Sunlight #13),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,Column level metadata is available and maintained (re: Sunlight #13),,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,"This mechanism also includes parent jurisdiction data such as county, state, and federal (see Sunlight #18)",,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Licensing Standards,Mandate data be explicitly license free,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Open Data,Creating a broader management strategy for Open Data,The city has published a management strategy for Open Data,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage internal data,Non Open Data,Non Open Data,The city demonstrates the ability to properly deal with sensitive data using the right security and protection procedures.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Establish Data Governance,Data Governance,Establishing Data Governance,The city has established data governance to manage data as an enterprise assett and designated participants routinely attend,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Establish Data Governance,Data Governance,Establishing Data Governance,Governance body meets at least once a month,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Establish Data Governance,Data Governance,Establishing Data Governance,"M10. Has a structured process for releasing data as part of an Open Data program (e.g., defined roles and responsibilities, governance plan, and/or governance committee)",,,,,,,,,,,,,,,
Measure,Leverage Data,How to Conduct Relevant Benchmarking,Benchmarking,Comparing you to you,The city routinely compares its current performance to past performance.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Conduct Relevant Benchmarking,Benchmarking,Comparing you to others,The city routine compares its current and past performance to that of other comparable jurisdictions.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to Conduct Relevant Benchmarking,Benchmarking,Comparing you to others,TS3. Measures and compares performance in core areas against external benchmarks,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,The city leverages existing (or publishes its own) data standards for the enterprise.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,Mandate data formats for maximal technical access.,,,,,,,,,,,,,,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,Provide comprehensive and appropriate formats for varied uses,,,,,,,,,,,,,,,
