WWC Standard,Average Joe standard,GovEx Book,GovEx Chapter,GovEx Verse,Pre/Post Metric,Metric Source,Reference #,Duplicate,Duplicate #
General,General,How it all comes together,Emerging Insights Hub,Specific Revelations from WWC Partners,N/A,,1,,
General,General,How it all comes together,Conceptual Diagrams,Performance Management Ecosystem,"The city has (or references) a document explaining to every employee how performance management, analysis, and open data practices fit together in their city.",Carter,2,,
General,General,How it all comes together,Case Studies,Stories about frontline employee using data in WWCs and achieving results,The city publishes (internally or externally) examples of its own employees using data to achieve results in their day-to-day practice.,Carter,3,,
General,General,How it all comes together,Case Studies,Give me the code (NYC),The city routinely shares analysis (including methodology) with employees across divisions to facilitate shared horizontal learning.,Carter,4,,
Commit,Identify what you want to achieve,How to get focused,Leadership,Finding an Executive Champion,"The city has an executive with significant authority over resources who throws his/her full weight behind data-related initiatives like open data, analytics and performance.",Carter,5,Yes,8
Commit,Identify what you want to achieve,How to get focused,Leadership,Finding an Executive Champion,A representative from the mayor/city manager's team is part of the leadership,Andrew/Sun,6,Yes,8
Commit,Identify what you want to achieve,How to get focused,Leadership,Finding an Executive Champion,"C10. Mayor publicizes commitment to governing with data to city departments (e.g., public remarks, internal employee emails, newsletters, website, etc.)",WWC,7,Yes,8
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,The city has published goal statements which set clear goals and provide context for why they are important to the city's mission or to the Mayor/City Manager.,Carter,8,Yes,11
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,"Build on the values, goals and mission of the community and government",Andrew/Sun,9,Yes,11
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,C2. Has at least one strategic goal,WWC,10,Yes,11
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Performance Management Goal Setting Template,C4. Has at least one publicly stated strategic goal,WWC,11,Yes,11
Commit,Identify what you want to achieve,How to get focused,Picking what problem to focus on,Department Mapping Template,The city has established (and published) clear linkages between its goal statements and each department's role in execution.,Carter,12,,
Commit,Identify what you want to achieve,How to get focused,"Choosing ""who"" to assign it to","Choosing ""who"" to assign it to","The city has established (and published) clear owners (programs and/or individuals) which make it clear ""who"" is responsible for progress toward each goal statement.",Carter,13,,
Commit,Identify what you want to achieve,How to get focused,"Deciding ""how"" to move forward","Deciding ""how"" to move forward",The city has clarified (and published) specific strategies and tactics which make it clear how they plan to make progress toward each goal statement.,Carter,14,,
Commit,Identify what you want to achieve,How to get focused,"Understanding ""when"" to expect progress",Setting Targets/Goals,"The city has specific targets/goals it is aiming for within each goal statement, and those targets/goals are calculated based on analysis of past performance, current context, and forseeable future activities.",Carter,15,Yes,17
Commit,Identify what you want to achieve,How to get focused,"Understanding ""when"" to expect progress",Setting Targets/Goals,Set appropriately ambitious timelines for implementation,Andrew/Sun,16,Yes,17
Commit,Identify what you want to achieve,How to get focused,"Understanding ""when"" to expect progress",Setting Targets/Goals,"C3. Has assigned targets, metrics, and a timeframe to measure progress toward the achievement of at least one strategic goal",WWC,17,Yes,17
Commit,Identify what you want to achieve,How to get focused,Picking where to start with Open Data efforts,Picking where to start with Open Data efforts,The city has published priorities for Open Data activities.,Carter,18,Yes,19
Commit,Identify what you want to achieve,How to get focused,Picking where to start with Open Data efforts,Picking where to start with Open Data efforts,Specify methods of determining the prioritization of data release,Andrew/Sun,19,Yes,19
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,STAT Forums,Performance Management (STAT) Getting Started Guide (Git,The city has a STAT program which is chaired by a senior official with ample authority.,Carter,20,Yes,22
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,STAT Forums,Intro to STAT,The city has a STAT program which occurs routinely on a predictable schedule.,Carter,21,Yes,22
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,STAT Forums,Intro to STAT,"M3. Has a set schedule for performance management or Stat meetings, led by the mayor or his/her senior team",WWC,22,Yes,22
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,STAT Forums,STAT Delivery Model,The city has a STAT program which consistently leverages data to inform the discussion.,Carter,23,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,STAT Forums,History of Performance STAT Programs & Appendix,The city has a STAT program which drives specific actions for which individuals/programs are held accountable for completing.,Carter,24,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,Non-STAT Forums,Non-STAT Forums,The city has an interdisciplinary meeting of senior management officials which is infused with data and analysis to drive the discussion. (but it is not called STAT),Carter,25,,
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,Tactical-level forums,Open Data Forums,The city has an Open Data portal.,Carter,26,Yes,78
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,Tactical-level forums,Internal Data Visualizations,The city publsihes data visualizations for employees to inform the day-to-day execution of their responsibiliies.,Carter,27,Yes,28
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,Tactical-level forums,Internal Data Visualizations,"C8. Publishes city progress on city goals annually or more frequently (e.g., annual report, update to city’s strategic plan, etc.)",WWC,28,Yes,28
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,Budget Process Forums,Performance Based Budgeting,The city routinely make resource/budgeting decisions in meetings which are infused with the analysis of data.,Carter,29,Yes,31
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,Budget Process Forums,Performance Based Budgeting,Ensure sufficient funding for implementation,Andrew/Sun,30,Yes,31
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,Budget Process Forums,Performance Based Budgeting,"A5. Redirects budget allocations for citywide policies, program areas, or multi-agency initiatives based in part on their measurable impact (i.e.,moving funds away from ineffective policies or programs and towards programs that demonstrate better results)",WWC,31,Yes,31
Commit,Identify what you want to achieve,How to create & sustain compelling decision-making forums,Sustainment Strategies,Sustainment Strategies,"The city's STAT program or other high-visibility, data-driven, decision-making venue has existed for more than one political administration.",Carter,32,,
Commit,Identify what you want to achieve,How to make it stick,Strategic Framework,Strategic Framework,The city has a strategic plan which explicitely includes language about leveraging data to make decisions as an organization.,Carter,33,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,The city has an ordinance passed by city council on Open Data.,Carter,34,Yes,40
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Reference and build on existing public accountability and access policies,Andrew/Sun,35,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Stipulate that provisions apply to contractors or quasi-governmental agencies,Andrew/Sun,36,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Create guidance or other binding regulations for implementation,Andrew/Sun,37,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Ordinance,Mandate future review for potential changes to this policy,Andrew/Sun,38,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Executive Order (Examples),The city has an executive order signed by the chief executive on Open Data.,Carter,39,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Open Data Executive Order (Examples),C9. Has an Open Data policy,WWC,40,Yes,40
Commit,Identify what you want to achieve,How to make it stick,Policy,STAT Executive Order Examples & Chart,The city has an Executive order establishing a STAT or STAT-like program,Carter,41,,
Commit,Identify what you want to achieve,How to make it stick,Policy,Sample Performance Management Resolution,The city's legislative branch has passed a resolution or ordinance establishing performance management requirements for the city.,Carter,42,,
Commit,Identify what you want to achieve,How to make it stick,Culture,Culture Diagnostic Tools,"The city has engaged in demonstrable efforts (i.e. focus groups, consutling reviews, surveys) to understand its own culture.",Carter,43,,
Commit,Identify what you want to achieve,How to make it stick,Culture,Culture Change Resources,The city has explicitely referenced a desire to change or shape its own culture toward one more adept with data and analysis.,Carter,44,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy-In,Employee Evaluations - Linkage to Goals,"City employees are evaluated using a tool or framework which connects their own performance to that of their respective programs, departments, and the city writ large.",Carter,45,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy-In,Employee Recognition,City employees are routinely recognized for their contributions to improving government.,Carter,46,,
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy-In,"Employee Engagement - Listening, Participation, Feedback, Communication","The city leverages multiple channels to engage its employees (listening sessions, internal communications, feedback sessions, high participation rates in activities)",Carter,47,Yes,49
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy-In,"Employee Engagement - Listening, Participation, Feedback, Communication",Awareness and use of the open data portal is fostered within agencies/departments,Andrew/Sun,48,Yes,49
Commit,Identify what you want to achieve,How to make it stick,Stakeholder Buy-In,"Employee Engagement - Listening, Participation, Feedback, Communication",C6. Involves internal stakeholders in goal setting,WWC,49,Yes,49
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,The city captures its own best practices and communicates about them.,Carter,50,Yes,51
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,Open data success stories are routinely shared with the media and on social media,Andrew/Sun,51,Yes,51
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,"New, recently updated, or important datasets are routinely highlighted",Andrew/Sun,52,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Capturing Best Practices,"Stories, links to stories, or links to work done based upon open data are routinely provided",Andrew/Sun,53,,
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,The city actively pushes its own example of data-driven practices to the press/media.,Carter,54,Yes,56
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,"City leaders routinely reference public data in press releases, interviews, presentations or public speeches",Andrew/Sun,55,Yes,56
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,C1. The mayor or chief executive cites data when speaking publicly about progress towards city goals,WWC,56,Yes,56
Commit,Identify what you want to achieve,How to make it stick,Publicity,Press Examples,"A6. In public remarks (or public materials), the mayor or chief executive explains how any change in funding between vendors or programs was driven by data and evidence",WWC,57,Yes,56
Commit,Identify what you want to achieve,How to make it stick,Competency,Creating a Data & Analysis Literate Workforce,The city either directly provides or dedicates budget resources for purchasing employee training on data/analytics.,Carter,58,,
Commit,Identify what you want to achieve,How to make it stick,Competency,Assessing Your Own Capabilities,"The city has a mechanism to assess the mathematical, statistical, and computer science capabilites of its own workforce.",Carter,59,,
Measure,Decide how you want to measure progress,How to pick measures that matter,Using the measures you have,KPIs,"The city has selected specific performance measures as ""Key Performance Indicators"" to highlight and visit on a routine basis.",Carter,60,Yes,61
Measure,Decide how you want to measure progress,How to pick measures that matter,Using the measures you have,KPIs,"C5. Has assigned targets, metrics, and a timeframe to measure progress toward the achievement of at least one publicly stated strategic goal",WWC,61,Yes,61
Measure,Decide how you want to measure progress,How to pick measures that matter,Building new measures,"Using families of measures (inputs, outputs, outcomes/impacts, service quality, efficiency)","The city leverages a ""family of measures"" to monitor the progress toward each goal statement",Carter,62,Yes,61
Measure,Decide how you want to measure progress,How to pick measures that matter,Building new measures,"Using families of measures (inputs, outputs, outcomes/impacts, service quality, efficiency)","M1. Collects key output indicators (outputs are interim data points that indicate progress towards a city priority or goal; e.g., number of trees planted in city fiscal year)",WWC,63,Yes,61
Measure,Decide how you want to measure progress,How to pick measures that matter,Building new measures,"Using families of measures (inputs, outputs, outcomes/impacts, service quality, efficiency)","M2. Collects key outcome indicators (outcomes are final data points that indicate concrete progress made towards a city priority or goal; e.g., reduction in unemployment rate; previously unemployed maintain jobs for 12 months)",WWC,64,Yes,61
Measure,Leverage Data,How to conduct a data inventory,Inventory Data,Data Inventory Guide,The city has conducted (and publsihed) a complete data inventory.,Carter,65,Yes,67
Measure,Leverage Data,How to conduct a data inventory,Inventory Data,Data Inventory Guide,"Create a public, comprehensive list of all information holdings",Andrew/Sun,66,Yes,67
Measure,Leverage Data,How to conduct a data inventory,Inventory Data,Data Inventory Guide,The data inventory is routinely reviewed and public data releases are prioritized,Andrew/Sun,67,Yes,67
Measure,Leverage Data,How to leverage external data,Data Collection,Data Collection Best Practices,Optimize methods of data collection,Andrew/Sun,68,Yes,69
Measure,Leverage Data,How to leverage external data,Data Collection,Data Collection Best Practices,Data is kept up-to-date without human interaction (re: Sunlight #22),Andrew/Sun,69,Yes,69
Measure,Leverage Data,How to leverage external data,Leveraging External Sources,"Data from key partners with overlapping equities (e.g. school districts, utilities, counties, states, feds)","The city routinely leverages data from external stakeholders (E.g. school districts, utilities, counties, states, feds) to enhance the quality of its own analysis.",Carter,70,,
Measure,Leverage Data,How to leverage external data,Leveraging Multiple Formats,"Data from web, databases, APIs",The city demonstrates the in-house ability to leverage open source data through APIs to enhance the quality of its analysis.,Carter,71,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Advancement Guide,,,72,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Getting Started Guide,Publish bulk data,Andrew/Sun,73,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,Charge data-creating agencies with recommending an appropriate citation form,Andrew/Sun,74,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,Require publishing metadata,Andrew/Sun,75,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,Metadata is compatible with project-open-data / DCAT (re: Sunlight #13),Andrew/Sun,76,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Metadata & Dictionary Guide,References to 3rd party specifications (e.g. civic data standards) are included if relevant,Andrew/Sun,77,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,M9. Has an Open Data portal,WWC,78,Yes,78
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,The web site provides a useful search feature (re: Sunlight #18),Andrew/Sun,79,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,The web site provides a data.json feed (re: Sunlight #18),Andrew/Sun,80,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,A one-stop data discovery mechanism exists when the jurisdiction operates multiple open data sites (re: Sunlight #18),Andrew/Sun,81,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,Value-level metadata is available and maintained (re: Sunlight #13),Andrew/Sun,82,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,Column-level metadata is available and maintained (re: Sunlight #13),Andrew/Sun,83,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Portal Technical Requirements,"This mechanism also includes parent jurisdiction data such as county, state, and federal (see Sunlight #18)",Andrew/Sun,84,,
Measure,Leverage Data,How to leverage internal data,Open Data,Open Data Licensing Standards,Mandate data be explicitly license-free,Andrew/Sun,85,,
Measure,Leverage Data,How to leverage internal data,Open Data,Creating a broader management strategy for Open Data,The city has published a management strategy for Open Data,Carter,86,,
Measure,Leverage Data,How to leverage internal data,Non-Open Data,Non-Open Data,The city demonstrates the ability to properly deal with sensitive data using the right security and protection procedures.,Carter,87,,
Measure,Leverage Data,How to Establish Data Governance,Data Governance,Establishing Data Governance,The city has established data governance to manage data as an enterprise assett and designated participants routinely attend,Carter,88,Yes,90
Measure,Leverage Data,How to Establish Data Governance,Data Governance,Establishing Data Governance,Governance body meets at least once a month,Andrew/Sun,89,Yes,90
Measure,Leverage Data,How to Establish Data Governance,Data Governance,Establishing Data Governance,"M10. Has a structured process for releasing data as part of an Open Data program (e.g., defined roles and responsibilities, governance plan, and/or governance committee)",WWC,90,Yes,90
Measure,Leverage Data,How to Conduct Relevant Benchmarking,Benchmarking,Comparing you to you,The city routinely compares its current performance to past performance.,Carter,91,,
Measure,Leverage Data,How to Conduct Relevant Benchmarking,Benchmarking,Comparing you to others,The city routine compares its current and past performance to that of other comparable jurisdictions.,Carter,92,Yes,93
Measure,Leverage Data,How to Conduct Relevant Benchmarking,Benchmarking,Comparing you to others,TS3. Measures and compares performance in core areas against external benchmarks,WWC,93,Yes,93
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,The city leverages existing (or publishes its own) data standards for the enterprise.,Carter,94,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,Mandate data formats for maximal technical access.,Andrew/Sun,95,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,Provide comprehensive and appropriate formats for varied uses,Andrew/Sun,96,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,"Implementation Guidance (Sunlight #24) defines standards for common data elements to keep them consistent across different datasets (e.g. addresses, date formats, geospatial projections)",Andrew/Sun,97,,
Measure,Leverage Data,How to leverage Data Standards,Data Standards,Leveraging Data Standards,Civic data specifications are used (if they exist) (similar to Sunlight #8),Andrew/Sun,98,,
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"The city demonstrates that city contracts are routinely evaluated based on performance, and that adverse contracting actions result from underperformance.",Carter,99,Yes,100-108
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"M4. Identifies goals for key procurements (including grants and contracts), specifies measurable outcomes, and aligns procurement strategy, including the selection of competition strategy, contract structure, and requirements, with goals (goals should describe what the city is seeking to accomplish through the procurement and why the city needs to purchase the good or service)",WWC,100,Yes,100-108
