WWC Standard,Average Joe standard,GovEx Book,GovEx Chapter,GovEx Verse,Pre/Post Metric,Metric Source,Reference #,Duplicate,Duplicate #
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"M5. Contracts include performance incentives (e.g., selecting the right contract structure, providing rewards for good performance, reducing payment for underperformance, shrinking future contracts)",WWC,101,Yes,100-108
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"M6. Has systems in place to measure outcomes, impacts, and/or cost effectiveness of key procurements",WWC,102,Yes,100-108
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,TS6. Monitors outcomes specified in contracts,WWC,103,Yes,100-108
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,TS7. Reviews outcome data specified in contracts with contractors during the contract term,WWC,104,Yes,100-108
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"TS8. At the end of a contract term, systematically reviews and assesses contractor performance",WWC,105,Yes,100-108
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"TS9. Compares relative performance across service providers (i.e., agency staff reviews performance of all vendors for a particular service)",WWC,106,Yes,100-108
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,"A2. Uses performance data to manage ongoing contracts, including detecting issues in real-time and implementing mid-course corrections as needed",WWC,107,Yes,100-108
Act,Take Informed Action,How to take informed action,Doing what works,Performance Based Contracting,A3. Makes contracting decisions based with consideration of past performance of vendor(s),WWC,108,Yes,100-108
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)","The city routinely leverages external stakeholders (CFA brigades, coalitions, advocates) for co-problem solving.",Carter,109,Yes,115
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",Incorporate public perspectives into policy implementation,Andrew/Sun,110,Yes,115
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",Create or explore potential partnerships,Andrew/Sun,111,Yes,115
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",Agency/department representatives discuss available data with industry/domain representatives (re: Sunlight #30),Andrew/Sun,112,Yes,115
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)","City representatives regularly attend local ""civic hacker"" meetings (CfA Brigades, etc)",Andrew/Sun,113,Yes,115
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",The jurisdiction actively participates in the development & evolution of civic data specifications,Andrew/Sun,114,Yes,115
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)",C7. Involves external stakeholders in goal setting,WWC,115,Yes,115
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)","TS5. Collaborates with researchers (e.g., university partners or research firms) to design or conduct empirical assessments of programs/service delivery",WWC,116,,
Act,Take Informed Action,How to take informed action,Doing what works,"Stakeholder engagement (CFA Brigades, Identifying Coalitions)","A7. Actively and successfully facilitates the creative and valuable use of data by residents and entrepreneurs (e.g., public events, prizes, competitions, hackathons, developing apps for the public)",WWC,117,,
Act,Take Informed Action,How to take informed action,Doing what works,Finding best practices,"The city can cite at least three examples of implementing a program or service change based on a ""best practice"" in another jurisdiction.",Carter,118,,
Act,Take Informed Action,How to take informed action,Stopping bad practices,Finding bad practices,The city can cite at least one example of NOT trying something because it was deemed a bad or ineffective practice in another jurisdiction.,Carter,119,,
Act,Take Informed Action,How to take informed action,Stopping bad practices,Knowing when your practices are bad,"The city can cite at least three examples of stopping a program or service that, based on analysis of evidence, was not working.",Carter,120,,
Act,Take Informed Action,How to take informed action,Going first (taking a risk),Influencing Behavior through new approaches,The city can cite at least one example of trying an unprecedented action based on a belief it might work and and absence of evidence it wouldn't work.,Carter,121,,
Act,Take Informed Action,How to take informed action,Applying the right resources to the problem,Applying the right resources to the problem,The city makes resource decisions which are based on precice calculations and derived from thorough analysis.,Carter,122,Yes,31
Act,Take Informed Action,Hot to close the loop,Connecting new insights to past and future actions/decisions,Connecting new insights to past and future actions/decisions,The city can cite three examples of adjusting previous decisions based on new data and analysis (taking stock).,Carter,123,Yes,126
Act,Take Informed Action,Hot to close the loop,Connecting new insights to past and future actions/decisions,Connecting new insights to past and future actions/decisions,Web site and dataset usage statistics are routinely reviewed to aid in prioritization,Andrew/Sun,124,,
Act,Take Informed Action,Hot to close the loop,Connecting new insights to past and future actions/decisions,Connecting new insights to past and future actions/decisions,A1. Modifies the delivery of existing programs based on the review of their results in performance management meetings or through a benchmarking analysis,WWC,125,Yes,126
Act,Take Informed Action,Hot to close the loop,Connecting new insights to past and future actions/decisions,Connecting new insights to past and future actions/decisions,A4. Modifies the delivery of existing programs (contracted or agency administered) based on evaluation results,WWC,126,Yes,126
Take Stock,Learn from the Results,How to attract & keep talent,Identify the right skills,Identify the right skills,"The city has job descriptions which explicitely list data science skillsets in mathematics, statistics, computer science, communications, and general critical thinking.",Carter,127,,
Take Stock,Learn from the Results,How to attract & keep talent,High-Yield Recruitment,STAT Analyst Job Description,The city has speciic job descriptions for a STAT Director and/or STAT analysts.,Carter,128,,
Take Stock,Learn from the Results,How to attract & keep talent,High-Yield Recruitment,Open Data Analyst Job Description,The city has speciic job descriptions for an Open Data Director and/or Open Data analysts.,Carter,129,,
Take Stock,Learn from the Results,How to attract & keep talent,High-Yield Recruitment,Where to Look for Talent,The city proactively lists data and analytics-related job postings with organizations that have relevent expertise and broad reach into top talent.,Carter,130,,
Take Stock,Learn from the Results,How to attract & keep talent,High-Yield Recruitment,Chief Data Officer Job Description (Nicklin),The city has a Chief Data Officer or has a speciic job descriptions for a Chief Data Officer.,Carter,131,,
Take Stock,Learn from the Results,How to attract & keep talent,High-Yield Recruitment,Chief Data Officer Job Description (Nicklin),Create or appoint oversight authority,Andrew/Sun,132,Yes,134
Take Stock,Learn from the Results,How to attract & keep talent,High-Yield Recruitment,Open Data Program Manager Job Description (Sheila - Cambridge),The city has an Open Data Program Manager or has a speciic job descriptions for an Open Data Program Manager.,Carter,133,Yes,134
Take Stock,Learn from the Results,How to attract & keep talent,High-Yield Recruitment,Open Data Program Manager Job Description (Sheila - Cambridge),M11. Has designated a person or team responsible for Open Data,WWC,134,Yes,134
Take Stock,Learn from the Results,How to attract & keep talent,Building effective teams,Building effective teams,"The city has more than one person advancing the practices of data, analytics, and performance management internally.",Carter,135,Yes,136
Take Stock,Learn from the Results,How to attract & keep talent,Building effective teams,Building effective teams,"M13. Has staff dedicated to data analysis (e.g., data analytics staff, performance management staff, evaluation staff, Chief Data Officer, etc.)",WWC,136,Yes,136
Take Stock,Learn from the Results,How to attract & keep talent,Retention,Retention,The city demonstrates the ability to retain data analysts for longer than two years.,Carter,137,,
Take Stock,Learn from the Results,How to attract & keep talent,Identify existing talent,Identify existing talent,The city has created an informal network of analysts from an existing pool of talent across the city.,Carter,138,,
Take Stock,Learn from the Results,How to attract & keep talent,Identify existing talent,Finding open data and performance management coordinators internally,"The city has designated open data, data governance, performance management, or analytics coordinators across the government.",Carter,139,Yes,140
Take Stock,Learn from the Results,How to attract & keep talent,Identify existing talent,Finding open data and performance management coordinators internally,Every agency/department has designated an open data liaison,Andrew/Sun,140,Yes,140
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Performance Management Platform Recommendations,The city publishes its performance data on an interactive virtual platform.,Carter,141,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Statistical Tools,"The city enables the utilization of (i.e. Stata, SPSS, R, Matlab, Minitab, SAS) by employees.",Carter,142,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Geospatial Tools,"The city enables the utilization of GIS software (i.e. AutoCAD, Esri, Mapinfo, etc) by employees.",Carter,143,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Data Visualization Tools,"The city enables the utilization of data visualization software (i.e. Tableau, Qlikview, Socrata, R) by employees.",Carter,144,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Data Management Tools,"The city enables the utilization of data management software (e.g. Access, MySQL, Hadoop, NoSQL) for employees.",Carter,145,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Exploration Tools,"The city enables the utilization of data exploration software (e.g. Excel, MySQL, R, Tableau, Pentaho) for employees.",Carter,146,,
Take Stock,Learn from the Results,How to generate insights,Data Science Tools,Programming Tools,"The city enables employees to conduct data analysis using computer programming through Java, R, Python, C, etc.",Carter,147,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Preparation for Analysis - Specifying the Question,"Analysts in the city report being given very specific questions to answer BEFORE they are expected to conduct analysis,",Carter,148,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Preparation for Analysis - Questions you should be asking,Analysts report having the freedom and security to elevate or suggest questions worth answering to city leadership.,Carter,149,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Preparation for Analysis - Questions you should be asking,"TS1. Has a designated process for conducting analysis, prep, and follow-up for each Stat or performance management meeting",WWC,150,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Hygeine,Analysts report a significant portion of their project time is dedicated to data hygeine prior to analysis being conducted.,Carter,151,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Hygeine,Mandate the use of unique identifiers,Andrew/Sun,152,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Hygeine,Create processes to ensure data quality,Andrew/Sun,153,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Hygeine,Implementation guidance (Sunlight #24) includes a framework for data quality,Andrew/Sun,154,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Database Administration,The city has more than one individual on an enterprise analytics/STAT/Open Data team who is adept at more than two DBM tools.,Carter,155,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Database Administration,Mandate ongoing data publication and updates,Andrew/Sun,156,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Data Security,The city has published protocols and training for managing PII and other sensitive information in accordance with security guidelines.,Carter,157,Yes,159
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Data Security,Appropriately safeguard sensitive information,Andrew/Sun,158,Yes,159
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Data Security,A risk management plan exists,Andrew/Sun,159,Yes,159
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Management - Data Storage,"The city demonstrates the ability or intention to transition its data to cloud-based storage, and out of legacy systems.",Carter,160,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,"Data Exploration & Descriptive Statistics (central tendency, variability)","The city published descriptive statistics wherever data is presented (reports, dashboards, websites)",Carter,161,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,"Data Exploration & Descriptive Statistics (central tendency, variability)",TS4. Uses a range of evaluation methods to test the impact of programs,WWC,162,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Modeling & Statistical Inference - Sampling & Population Estimation,The city leverages inferential statistics to drive its understanding of issues affecting broader city populations (e.g. disease transmission).,Carter,163,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Data Modeling & Statistical Inference - Prediction & Machine Learning,The city leverages inferential statistics to develop predictive models for at least one service area.,Carter,164,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Coding & Programming,The city employees at least two employees (outside the IT department) who are adept in multiple computer programming languages.,Carter,165,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,"Math that Matters (ratios, slopes, net vs. gross changes)","The city routinely uses basic counting, ratios, and percent changes to understand changes in program performance.",Carter,166,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Reproducibility,"The city publsihes its analysis and underlying methodology to its own employees and/or the public through Github, Sharepoint, or an internal tool",Carter,167,Yes,169
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Reproducibility,Require publishing data creation processes,Andrew/Sun,168,Yes,169
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Reproducibility,Require code sharing or publishing open source,Andrew/Sun,169,Yes,169
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Geospatial Analysis,The city has multiple GIS Specialists on staff and leverages them for spatial and non-spatial analysis at the enterprise level (i.e. not limited to,Carter,170,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Text Mining,"The city treats qualitative information as data and uses text mining analysis to derive insights from PDF reports, etc.",Carter,171,,
Take Stock,Learn from the Results,How to generate insights,Data Science Methods,Text Mining,Require digitization and distribution of archival materials,Andrew/Sun,172,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Accessibility,The city practices 508-compliance-like standards to make content accessible to those with disabilities.,Carter,173,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Accessibility,Remove restrictions for accessing information,Andrew/Sun,174,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Accessibility,Create public APIs for accessing information,Andrew/Sun,175,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Accessibility,"Create permanent, lasting access to data",Andrew/Sun,176,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Data Visualization,The city has published data visualizations which are intutive and well designed.,Carter,177,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,Choosing Content Carefully,"The analysis produced by a city is easily understandable and clearly presented, not jumbled with all possible facts.",Carter,178,,
Take Stock,Learn from the Results,How to communicate insights,Design choices,When Maps Matter (and when they don't),The maps published by cities have context provided with them.,Carter,179,,
Take Stock,Learn from the Results,How to communicate insights,Presentation skills,Storytelling Through Data,Presentations given by city officials tell a clear and compelling story about how data is used to add value.,Carter,180,,
Take Stock,Learn from the Results,How to communicate insights,Presentation skills,"Briefing Executives (written, verbal)","Executives in the city report satisfaction with the quality of briefings provided by analyticl staff,",Carter,181,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with employees,The city routinely communicates with employees about the importance of data and analysis in their work.,Carter,182,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with politicians,The city routinely provides data and analysis to elected officials during committee hearings.,Carter,183,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"The city communicates with the public, through multiple channels, about data and analysis relevant to their lives.",Carter,184,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,Proactively release government information online,Andrew/Sun,185,Yes,78
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,Create a central location devoted to data publication and policy,Andrew/Sun,186,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,Incorporate public perspectives into policy implementation• The launch of the open data website has been publicly announced,Andrew/Sun,187,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,Social media is routinely used to engage the public in conversations about open data,Andrew/Sun,188,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"Links to the open data portal(s) are prominently included on the jurisdiction's web site(s) (header, footer, or navigation)",Andrew/Sun,189,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,City representatives who attend locally-organized events direct the public to the open data portal when appropriate,Andrew/Sun,190,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,A means is provided for the public to request data,Andrew/Sun,191,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,A means is provided for the public to provide feedback on published data,Andrew/Sun,192,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,The jurisdiction is listed as a provider on the civic data specification's website,Andrew/Sun,193,,
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"M7. Publicly releases data that is descriptive of core city services or related to city goals (i.e., data that is useful to the public)",WWC,194,Yes,78
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"M8. Has a mechanism for releasing data to the public (e.g., resource page on city website)",WWC,195,Yes,78
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"M12. Publicly releases data that is responsive to residents’ requests (i.e., there is a clear relationship between the data released and residents’ requests)",WWC,196,Yes,78
Take Stock,Learn from the Results,How to communicate insights,Communicating Insights & Articulating value with Stakeholders,Communicating with the community,"TS2. Shares key data, findings, and decisions from performance management meetings with the public",WWC,197,Yes,78